ts,eid,look,dmg,crit,mob_hp_after,mob_hp_before,level,might,grace,will,might_base,grace_base,will_base,dam,hit,ac
1785301787472,832859,185,29,0,0,,8,7,9,6,7,8,6,1,0,98
1785301792478,833002,185,27,0,0,,8,7,9,6,7,8,6,1,0,98
1785301794980,825057,,1,0,99,100,8,7,9,6,7,8,6,1,0,98
1785301794983,833003,185,26,0,0,,8,7,9,6,7,8,6,1,0,98
1785301796482,825057,,1,0,99,99,8,7,9,6,7,8,6,1,0,98
1785301796482,833001,185,24,0,0,,8,7,9,6,7,8,6,1,0,98
1785301797482,831109,185,28,0,0,,8,7,9,6,7,8,6,1,0,98
1785301797591,825057,,1,0,99,99,8,7,9,6,7,8,6,1,0,98
1785301799483,831111,185,84,1,0,,8,7,9,6,7,8,6,1,0,98
1785301799643,825057,,1,1,99,99,8,7,9,6,7,8,6,1,0,98
1785301801486,825057,,1,1,98,99,8,7,9,6,7,8,6,1,0,98
1785301801486,833000,185,24,0,0,,8,7,9,6,7,8,6,1,0,98
1785301805991,831107,185,27,0,0,,8,7,9,6,7,8,6,1,0,98
1785301809996,832941,185,28,0,0,,8,7,9,6,7,8,6,1,0,98
1785301810087,825057,,1,0,98,98,8,7,9,6,7,8,6,1,0,98
1785301812503,833442,185,24,0,0,,8,7,9,6,7,8,6,1,0,98
1785301815505,833440,185,25,0,0,,8,7,9,6,7,8,6,1,0,98
1785301816007,833443,185,25,0,0,,8,7,9,6,7,8,6,1,0,98
1785301817007,833439,185,26,0,0,,9,7,10,7,7,9,7,1,0,98
1785301818509,833438,185,27,0,0,,9,7,10,7,7,9,7,1,0,98
1785301820009,833510,185,27,0,0,,9,7,10,7,7,9,7,1,0,98
1785301821511,833509,185,25,0,0,,9,7,10,7,7,9,7,1,0,98
1785301822517,833445,185,27,0,0,,9,7,10,7,7,9,7,1,0,98
1785301825022,825057,,1,0,99,100,9,7,10,7,7,9,7,1,0,98
1785301826019,825057,,3,0,99,99,9,7,10,7,7,9,7,1,0,98
1785301826019,833507,185,29,0,0,,9,7,10,7,7,9,7,1,0,98
1785301828022,833511,185,27,0,0,,9,7,10,7,7,9,7,1,0,98
1785301829523,825057,,1,0,98,99,9,7,10,7,7,9,7,1,0,98
1785301829523,833508,185,24,0,0,,9,7,10,7,7,9,7,1,0,98
1785301838035,833441,185,26,0,0,,9,7,10,7,7,9,7,1,0,98
1785301843534,832999,185,29,0,0,,9,7,10,7,7,9,7,1,0,98
1785301843633,825057,,1,0,99,98,9,7,10,7,7,9,7,1,0,98
1785301844035,833444,185,27,0,0,,9,7,10,7,7,9,7,1,0,98
1785301844133,825057,,1,0,99,99,9,7,10,7,7,9,7,1,0,98
1785301851042,833639,185,29,0,0,,9,7,10,7,7,9,7,1,0,98
1785301852543,833631,185,24,0,0,,9,7,10,7,7,9,7,1,0,98
1785301853547,825057,,1,0,99,99,9,7,10,7,7,9,7,1,0,98
1785301853547,833635,185,26,0,0,,9,7,10,7,7,9,7,1,0,98
1785301856048,825057,,1,0,99,99,9,7,10,7,7,9,7,1,0,98
1785301857049,833633,185,87,1,0,,9,7,10,7,7,9,7,1,0,98
1785301858048,833632,185,26,0,0,,9,7,10,7,7,9,7,1,0,98
1785301858137,825057,,1,0,98,99,9,7,10,7,7,9,7,1,0,98
1785301859550,833634,185,27,0,0,,9,7,10,7,7,9,7,1,0,98
1785301859669,825057,,1,0,98,98,9,7,10,7,7,9,7,1,0,98
1785301861051,833636,185,24,0,0,,9,7,10,7,7,9,7,1,0,98
1785301861132,825057,,1,0,98,98,9,7,10,7,7,9,7,1,0,98
1785301862553,833638,185,28,0,0,,9,7,10,7,7,9,7,1,0,98
1785301863553,833637,185,28,0,0,,9,7,10,7,7,9,7,1,0,98
1785301863641,825057,,1,0,99,98,9,7,10,7,7,9,7,1,0,98
1785301864555,833630,185,29,0,0,,9,7,10,7,7,9,7,1,0,98
1785301881077,833888,185,28,0,0,,9,7,10,7,7,9,7,1,0,98
1785301884086,622082,185,25,0,0,,9,7,10,7,7,9,7,1,0,98
1785301884119,825057,,1,0,99,99,9,7,10,7,7,9,7,1,0,98
1785301887581,825057,,1,0,99,99,9,7,10,7,7,9,7,1,0,98
1785301887581,827008,185,29,0,0,,9,7,10,7,7,9,7,1,0,98
1785301918120,833883,185,25,0,0,,10,8,11,7,8,10,7,1,0,98
1785301920119,833891,185,29,0,0,,10,8,11,7,8,10,7,1,0,98
1785301924126,833890,185,29,0,0,,10,8,11,7,8,10,7,1,0,98
1785301925623,833885,185,27,0,0,,10,8,11,7,8,10,7,1,0,98
1785301928129,833889,185,27,0,0,,10,8,11,7,8,10,7,1,0,98
1785301928628,833884,185,29,0,0,,10,8,11,7,8,10,7,1,0,98
1785301932140,834005,185,84,1,0,,10,8,11,7,8,10,7,1,0,98
1785301932221,825057,,1,1,99,100,10,8,11,7,8,10,7,1,0,98
1785301933136,825057,,1,1,99,99,10,8,11,7,8,10,7,1,0,98
1785301933136,834173,185,30,0,0,,10,8,11,7,8,10,7,1,0,98
1785301935637,825057,,1,0,99,99,10,8,11,7,8,10,7,1,0,98
1785301935637,825057,,3,0,98,99,10,8,11,7,8,10,7,1,0,98
1785301935637,833886,185,25,0,0,,10,8,11,7,8,10,7,1,0,98
1785301936140,834172,185,26,0,0,,10,8,11,7,8,10,7,1,0,98
1785301936639,833882,185,27,0,0,,10,8,11,7,8,10,7,1,0,98
1785301938142,834219,185,27,0,0,,10,8,11,7,8,10,7,1,0,98
1785301939641,834171,185,28,0,0,,10,8,11,7,8,10,7,1,0,98
1785301940141,833887,185,25,0,0,,10,8,11,7,8,10,7,1,0,98
1785301940229,825057,,1,0,99,100,10,8,11,7,8,10,7,1,0,98
1785301940641,834170,185,90,1,0,,10,8,11,7,8,10,7,1,0,98
1785301942642,834218,185,28,0,0,,10,8,11,7,8,10,7,1,0,98
1785301944146,834216,185,30,0,0,,10,8,11,7,8,10,7,1,0,98
1785301945646,834217,185,25,0,0,,10,8,11,7,8,10,7,1,0,98
1785302445956,834291,185,25,0,0,,10,8,11,7,8,10,7,0,0,98
1785302447957,834290,185,29,0,0,,10,8,11,7,8,10,7,1,0,98
1785302450478,834283,185,25,0,0,,10,8,11,7,8,10,7,1,0,98
1785302450540,825057,,1,0,99,100,10,8,11,7,8,10,7,1,0,98
1785302451479,834286,185,30,0,0,,10,8,11,7,8,10,7,1,0,98
1785302452982,835535,185,26,0,0,,10,8,11,7,8,10,7,1,0,98
1785302455487,834442,185,26,0,0,,10,8,11,7,8,10,7,1,0,98
